epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8676,1.70946,2.92661,1.79291,0.05214,0.46152,0.02912,0.00885,2.36324,inf,3.03237,0.00041403,0.00041403,0.00041403
2,83.7058,1.76778,2.22252,1.83325,0.39207,0.30471,0.27924,0.12085,2.09002,4.36908,2.46482,0.000820416,0.000820416,0.000820416
3,120.919,1.73838,2.15657,1.81243,0.48431,0.15191,0.11765,0.04669,2.15034,10.3603,2.62522,0.00121649,0.00121649,0.00121649
4,157.556,1.73174,2.06947,1.799,0.39778,0.40061,0.36243,0.17011,1.85333,2.56563,2.13332,0.00120359,0.00120359,0.00120359
5,194.688,1.65664,1.91395,1.7349,0.48319,0.43262,0.43261,0.19922,1.89374,2.27597,2.16586,0.00118812,0.00118812,0.00118812
6,231.744,1.60332,1.79663,1.70363,0.39763,0.45424,0.43306,0.21664,1.72297,2.08454,1.97716,0.00117266,0.00117266,0.00117266
7,268.604,1.5681,1.71373,1.66625,0.54781,0.48318,0.49406,0.25495,1.65419,1.94127,1.91067,0.00115719,0.00115719,0.00115719
8,305.657,1.51413,1.60577,1.6246,0.466,0.57262,0.5095,0.24732,1.70808,1.83307,2.03737,0.00114172,0.00114172,0.00114172
9,342.299,1.479,1.54606,1.59088,0.52086,0.55066,0.54452,0.27592,1.65471,1.89035,1.93494,0.00112625,0.00112625,0.00112625
10,379.349,1.45659,1.51728,1.58158,0.5158,0.65448,0.57791,0.29655,1.64202,1.66102,1.95104,0.00111078,0.00111078,0.00111078
11,416.389,1.44096,1.47177,1.56883,0.64293,0.61848,0.66561,0.32097,1.59723,1.63083,1.88293,0.00109531,0.00109531,0.00109531
12,453.328,1.39469,1.38433,1.53284,0.65065,0.66977,0.66342,0.34061,1.5228,1.50353,1.84452,0.00107984,0.00107984,0.00107984
13,490.394,1.38215,1.36539,1.52756,0.72018,0.59312,0.64498,0.3286,1.58444,1.57698,1.8532,0.00106437,0.00106437,0.00106437
14,526.922,1.34304,1.3001,1.49815,0.75497,0.61811,0.68673,0.34003,1.60875,1.57863,1.86429,0.00104891,0.00104891,0.00104891
15,563.514,1.33664,1.26479,1.48309,0.66993,0.6477,0.71125,0.35733,1.53498,1.5255,1.82113,0.00103344,0.00103344,0.00103344
16,600.676,1.31679,1.23204,1.46216,0.6196,0.64751,0.64505,0.3244,1.70296,1.63571,1.98338,0.00101797,0.00101797,0.00101797
17,637.234,1.30529,1.20421,1.45823,0.69058,0.58487,0.66186,0.35568,1.57852,1.527,1.82002,0.0010025,0.0010025,0.0010025
18,673.852,1.26933,1.15886,1.42966,0.67508,0.66738,0.71371,0.36637,1.52912,1.40228,1.80879,0.000987031,0.000987031,0.000987031
19,710.999,1.25159,1.12681,1.41937,0.65039,0.64125,0.66594,0.33565,1.63446,1.74356,1.92967,0.000971562,0.000971562,0.000971562
20,747.658,1.24029,1.11181,1.42186,0.67076,0.6902,0.73193,0.36517,1.51932,1.37228,1.79901,0.000956094,0.000956094,0.000956094
21,784.243,1.18671,1.03139,1.37062,0.68738,0.71657,0.73405,0.37646,1.58995,1.41317,1.86556,0.000940625,0.000940625,0.000940625
22,821.302,1.18503,1.04568,1.3834,0.75457,0.70276,0.7555,0.39764,1.50867,1.30859,1.79744,0.000925156,0.000925156,0.000925156
23,858.286,1.1721,1.02723,1.36871,0.72506,0.69389,0.73657,0.40133,1.50853,1.37842,1.79,0.000909688,0.000909688,0.000909688
24,895.251,1.17283,0.99608,1.36443,0.7394,0.63459,0.69075,0.38197,1.57125,1.35426,1.8715,0.000894219,0.000894219,0.000894219
25,931.735,1.14487,0.97479,1.34188,0.71534,0.67818,0.70784,0.36641,1.52801,1.35574,1.81405,0.00087875,0.00087875,0.00087875
26,968.272,1.11803,0.94647,1.32277,0.6799,0.70433,0.70396,0.37747,1.56154,1.28398,1.90027,0.000863281,0.000863281,0.000863281
27,1004.81,1.10269,0.93811,1.32476,0.71388,0.71948,0.74999,0.38482,1.56901,1.32569,1.85346,0.000847813,0.000847813,0.000847813
28,1041.26,1.08995,0.90487,1.30287,0.78162,0.6865,0.73082,0.3818,1.57387,1.29731,1.90018,0.000832344,0.000832344,0.000832344
29,1077.91,1.05327,0.86579,1.27888,0.66459,0.7605,0.75719,0.39191,1.57549,1.27855,1.91181,0.000816875,0.000816875,0.000816875
30,1114.55,1.05923,0.87704,1.2854,0.74828,0.66658,0.75301,0.40347,1.54939,1.26761,1.86154,0.000801406,0.000801406,0.000801406
31,1151.61,1.03326,0.83663,1.26464,0.74482,0.72576,0.75876,0.39366,1.58254,1.17822,1.87801,0.000785938,0.000785938,0.000785938
32,1188.16,1.01042,0.80254,1.25003,0.81986,0.64411,0.7441,0.39383,1.55815,1.30129,1.87226,0.000770469,0.000770469,0.000770469
33,1224.75,0.99644,0.79365,1.23659,0.75514,0.6852,0.72912,0.40358,1.49484,1.29825,1.77952,0.000755,0.000755,0.000755
34,1262.17,0.99031,0.78655,1.24095,0.80566,0.72194,0.79899,0.42198,1.51629,1.30498,1.81115,0.000739531,0.000739531,0.000739531
35,1299.3,0.96595,0.768,1.22111,0.74012,0.70962,0.72525,0.40039,1.53114,1.22962,1.87323,0.000724062,0.000724062,0.000724062
36,1335.87,0.97196,0.76608,1.22538,0.74277,0.70454,0.75451,0.40266,1.53279,1.17474,1.88837,0.000708594,0.000708594,0.000708594
37,1372.46,0.94676,0.73915,1.21786,0.68047,0.72757,0.72004,0.3796,1.55851,1.23947,1.89679,0.000693125,0.000693125,0.000693125
38,1408.99,0.9626,0.74806,1.22346,0.67812,0.77615,0.76606,0.41435,1.51477,1.18101,1.86598,0.000677656,0.000677656,0.000677656
39,1445.64,0.91781,0.71517,1.19278,0.80734,0.66315,0.76964,0.40695,1.55972,1.25822,1.91537,0.000662188,0.000662188,0.000662188
40,1482.2,0.90675,0.70185,1.1813,0.686,0.71161,0.74038,0.40762,1.53505,1.21961,1.89254,0.000646719,0.000646719,0.000646719
41,1518.78,0.89972,0.69313,1.17764,0.79096,0.68785,0.77135,0.41974,1.54059,1.17073,1.90517,0.00063125,0.00063125,0.00063125
42,1555.31,0.88783,0.68666,1.16925,0.76468,0.67817,0.75468,0.42394,1.51646,1.13698,1.8611,0.000615781,0.000615781,0.000615781
43,1592.38,0.87898,0.66338,1.16714,0.76192,0.68997,0.76974,0.41643,1.55288,1.20024,1.86386,0.000600313,0.000600313,0.000600313
44,1629.22,0.85771,0.65418,1.15828,0.74528,0.74782,0.75687,0.42532,1.52491,1.16727,1.88417,0.000584844,0.000584844,0.000584844
45,1666.52,0.83651,0.62175,1.13888,0.7447,0.73965,0.74053,0.42443,1.54731,1.18206,1.8879,0.000569375,0.000569375,0.000569375
46,1703.27,0.83419,0.6215,1.1364,0.74486,0.761,0.78768,0.43778,1.54221,1.15916,1.89412,0.000553906,0.000553906,0.000553906
47,1740.44,0.81869,0.6174,1.13412,0.81876,0.70674,0.78767,0.43269,1.51269,1.18608,1.87193,0.000538438,0.000538438,0.000538438
48,1777.08,0.81496,0.61183,1.13214,0.75428,0.72477,0.76133,0.42162,1.55084,1.18461,1.90783,0.000522969,0.000522969,0.000522969
49,1813.73,0.80779,0.60777,1.12489,0.82278,0.68354,0.75566,0.43168,1.56429,1.21593,1.93372,0.0005075,0.0005075,0.0005075
50,1850.43,0.79419,0.58868,1.11323,0.79263,0.74317,0.79135,0.44753,1.50459,1.09897,1.85696,0.000492031,0.000492031,0.000492031
51,1887.5,0.77849,0.5795,1.10768,0.81848,0.66593,0.74666,0.4172,1.56993,1.17131,1.94186,0.000476562,0.000476562,0.000476562
52,1924.1,0.75828,0.5615,1.10009,0.73562,0.7277,0.74753,0.42665,1.52496,1.12135,1.91185,0.000461094,0.000461094,0.000461094
53,1960.75,0.75984,0.56603,1.09886,0.78695,0.68838,0.73901,0.42655,1.51772,1.15188,1.8822,0.000445625,0.000445625,0.000445625
54,1997.35,0.75813,0.56049,1.09371,0.77851,0.72847,0.78581,0.44924,1.50384,1.12754,1.89213,0.000430156,0.000430156,0.000430156
55,2034.83,0.72782,0.55048,1.07783,0.82328,0.64307,0.74706,0.40327,1.59153,1.15402,2.01368,0.000414688,0.000414688,0.000414688
56,2071.4,0.73034,0.53664,1.0731,0.73329,0.76663,0.77127,0.41856,1.58454,1.0871,1.98523,0.000399219,0.000399219,0.000399219
57,2107.93,0.7164,0.51956,1.06815,0.80698,0.68449,0.75009,0.40704,1.60232,1.08535,2.00997,0.00038375,0.00038375,0.00038375
58,2144.65,0.71197,0.52318,1.07288,0.79246,0.66113,0.74038,0.41703,1.57529,1.12054,1.98903,0.000368281,0.000368281,0.000368281
59,2181.3,0.69264,0.51199,1.056,0.79099,0.70725,0.77055,0.41702,1.56094,1.08565,1.99068,0.000352812,0.000352812,0.000352812
60,2219.42,0.68064,0.499,1.05433,0.82092,0.66811,0.75466,0.42272,1.55614,1.11415,1.97523,0.000337344,0.000337344,0.000337344
61,2255.96,0.68825,0.50342,1.05344,0.83141,0.69179,0.77284,0.44594,1.53576,1.13469,1.96157,0.000321875,0.000321875,0.000321875
